Activity ID,Latitude,Longitude,Site Name,Group name,Submitted by,Observation date,Time,Light condition,Depth (metres),Water temperature (deg. C),Activity,Zone,Habitat,Country,Coral No.,Colour Code Lightest,Colour Code Darkest,Average,Coral Type
e6597174-a7b7-4fae-817d-b824e0ba81dd,-23.434401,151.917999,"Heron Island, Coral Grotto, Great Barrier Reef (QLD), Australia",UQ-RSRC,Paul Tudman,2023-10-27T14:00:00Z,2:30 PM,Full sunshine,6,23,Diving,Leeward North,Reef slope,Australia,1,E3,E4,3.5,Branching corals
e6597174-a7b7-4fae-817d-b824e0ba81dd,-23.434401,151.917999,"Heron Island, Coral Grotto, Great Barrier Reef (QLD), Australia",UQ-RSRC,Paul Tudman,2023-10-27T14:00:00Z,2:30 PM,Full sunshine,6,23,Diving,Leeward North,Reef slope,Australia,2,E4,E5,4.5,Boulder corals
e6597174-a7b7-4fae-817d-b824e0ba81dd,-23.434401,151.917999,"Heron Island, Coral Grotto, Great Barrier Reef (QLD), Australia",UQ-RSRC,Paul Tudman,2023-10-27T14:00:00Z,2:30 PM,Full sunshine,6,23,Diving,Leeward North,Reef slope,Australia,3,C3,C4,3.5,Plate corals
e6597174-a7b7-4fae-817d-b824e0ba81dd,-23.434401,151.917999,"Heron Island, Coral Grotto, Great Barrier Reef (QLD), Australia",UQ-RSRC,Paul Tudman,2023-10-27T14:00:00Z,2:30 PM,Full sunshine,6,23,Diving,Leeward North,Reef slope,Australia,4,D4,D4,4,Soft corals
e6597174-a7b7-4fae-817d-b824e0ba81dd,-23.434401,151.917999,"Heron Island, Coral Grotto, Great Barrier Reef (QLD), Australia",UQ-RSRC,Paul Tudman,2023-10-27T14:00:00Z,2:30 PM,Full sunshine,6,23,Diving,Leeward North,Reef slope,Australia,5,D3,D4,3.5,Boulder corals
e6597174-a7b7-4fae-817d-b824e0ba81dd,-23.434401,151.917999,"Heron Island, Coral Grotto, Great Barrier Reef (QLD), Australia",UQ-RSRC,Paul Tudman,2023-10-27T14:00:00Z,2:30 PM,Full sunshine,6,23,Diving,Leeward North,Reef slope,Australia,6,C2,C3,2.5,Plate corals
e6597174-a7b7-4fae-817d-b824e0ba81dd,-23.434401,151.917999,"Heron Island, Coral Grotto, Great Barrier Reef (QLD), Australia",UQ-RSRC,Paul Tudman,2023-10-27T14:00:00Z,2:30 PM,Full sunshine,6,23,Diving,Leeward North,Reef slope,Australia,7,C2,C3,2.5,Plate corals
e6597174-a7b7-4fae-817d-b824e0ba81dd,-23.434401,151.917999,"Heron Island, Coral Grotto, Great Barrier Reef (QLD), Australia",UQ-RSRC,Paul Tudman,2023-10-27T14:00:00Z,2:30 PM,Full sunshine,6,23,Diving,Leeward North,Reef slope,Australia,8,D2,D3,2.5,Branching corals
e6597174-a7b7-4fae-817d-b824e0ba81dd,-23.434401,151.917999,"Heron Island, Coral Grotto, Great Barrier Reef (QLD), Australia",UQ-RSRC,Paul Tudman,2023-10-27T14:00:00Z,2:30 PM,Full sunshine,6,23,Diving,Leeward North,Reef slope,Australia,9,D2,D3,2.5,Branching corals
e6597174-a7b7-4fae-817d-b824e0ba81dd,-23.434401,151.917999,"Heron Island, Coral Grotto, Great Barrier Reef (QLD), Australia",UQ-RSRC,Paul Tudman,2023-10-27T14:00:00Z,2:30 PM,Full sunshine,6,23,Diving,Leeward North,Reef slope,Australia,10,C3,C4,3.5,Plate corals
