Order,Event,Researcher,Lab,Ecological_scale ,Scale_group,non_adjusted start,non-adjusted end,Start,End
1,a,Chris Roelfsema,MEML,Reef,7. Satellite Based Benthic Reef Map,23.03.2024,27.03.2024,23.03.2024,27.03.2024
2,b,Chris Roelfsema,MEML,Reef,6. Benthic Photoquadrat Reef Survey,23.03.2024,27.03.2024,23.03.2024,27.03.2024
2,c,Chris Roelfsema,MEML,Reef,6. Benthic Photoquadrat Reef Survey,23.11.2023,27.11.2023,23.11.2023,27.11.2023
4,e,Maria Beger team,BS,Reef,4. Coral Demography Plots,13.09.2022,10.09.2024,01.10.2023,10.06.2024
5,n,CoralWatch,CW,Community,5. Citizen Science Survey,13.10.2023,15.10.2023,13.10.2023,15.10.2023
5,o,CoralWatch,CW,Community,5. Citizen Science Survey,1.11.2023,8.11.2023,1.11.2023,8.11.2023
5,p,CoralWatch,CW,Community,5. Citizen Science Survey,9.01.2024,18.01.2024,9.01.2024,18.01.2024
5,q,CoralWatch,CW,Community,5. Citizen Science Survey,23.02.2024,26.02.2024,23.02.2024,26.02.2024
5,r,CoralWatch,CW,Community,5. Citizen Science Survey,1.03.2024,4.03.2024,1.03.2024,4.03.2024
5,s,CoralWatch,CW,Community,5. Citizen Science Survey,1.10.2023,3.10.2023,1.10.2023,3.10.2023
5,t,CoralWatch,CW,Community,5. Citizen Science Survey,21.03.2024,26.03.2024,21.03.2024,26.03.2024
5,u,CoralWatch,CW,Community,5. Citizen Science Survey,1.04.2024,09.04.2024,1.04.2024,09.04.2024
5,v,CoralWatch,CW,Community,5. Citizen Science Survey,10.05.2024,19.05.2024,10.05.2024,19.05.2024
5,w,CoralWatch,CW,Community,5. Citizen Science Survey,01.06.2024,03.06.2024,01.06.2024,03.06.2024
8,x,Roima Paewai-Huggins,RRAP,Individual,2. Juvenile Coral Quadrats,9/01/2023,3/01/2024,01.10.2023,3.01.2024
7,y,Devin Rowell,EcoRRAP,Individual,3. Adult Tagged Colony,9/02/2023,10/06/2024,01.10.2023,10.6.2024
9,z,Zoe Meziere,RL,Individual,1. Coral Fragments Collection,3/01/2024,27/04/2024,03.01.2024,27.04.2024
